#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_tot                  7:phi                    8:psi                
       8.238268065593e-02      -1.217384661030e-01      -7.469904521476e+01      -1.071704086930e+02      -1.077160210617e+00      -9.500991961556e+01       9.782807636519e-02       9.782609506761e-02 
       8.552129747467e-02      -1.153354178341e-01      -7.365918163100e+01      -1.102849121171e+02      -1.049562617900e+00      -9.728701364079e+01       9.295419015443e-02       9.295234936014e-02 
       8.870715413118e-02      -1.091473672794e-01      -7.203310452313e+01      -1.132419717322e+02      -1.059295284026e+00      -9.935498388106e+01       8.823320868494e-02       8.823141058064e-02 
       9.194993951623e-02      -1.032835155019e-01      -7.022034047241e+01      -1.160978724825e+02      -9.837337917934e-01      -1.013119177757e+02       8.373649165584e-02       8.373493686352e-02 
       9.525832093403e-02      -9.787561802554e-02      -6.868820058254e+01      -1.189245944699e+02      -8.797111126598e-01      -1.032867576743e+02       7.954133038474e-02       7.954006000148e-02 
       9.864022678522e-02      -9.303502739767e-02      -6.792818517382e+01      -1.218049762731e+02      -8.673044890603e-01      -1.054235345129e+02       7.571468533496e-02       7.571349129536e-02 
       1.021030472265e-01      -8.880701241584e-02      -6.839638120491e+01      -1.248247436180e+02      -8.735653374646e-01      -1.078541595459e+02       7.229480641617e-02       7.229365074698e-02 
       1.056537793191e-01      -8.518966443831e-02      -7.044410579672e+01      -1.280616510262e+02      -7.947609338711e-01      -1.106871617823e+02       6.929017166911e-02       6.928920459206e-02 
       1.092991335853e-01      -8.215256351581e-02      -7.424612210955e+01      -1.315732265882e+02      -7.416661688476e-01      -1.139988902596e+02       6.668190160309e-02       6.668106765074e-02 
       1.130456130919e-01      -7.960012499689e-02      -7.973659064507e+01      -1.353842774206e+02      -7.703545139618e-01      -1.178015095740e+02       6.441407425505e-02       6.441323723739e-02 
       1.168995725733e-01      -7.737124193460e-02      -8.657116906577e+01      -1.394767140634e+02      -7.347687554117e-01      -1.220224246619e+02       6.239476849337e-02       6.239402220524e-02 
       1.208672628107e-01      -7.529608299875e-02      -9.412956086569e+01      -1.437839912070e+02      -6.732030782992e-01      -1.265184796309e+02       6.051567612047e-02       6.051505113417e-02 
       1.249548639907e-01      -7.320196317793e-02      -1.015703430579e+02      -1.481936119046e+02      -6.996013407348e-01      -1.310810419683e+02       5.866271725300e-02       5.866209176726e-02 
       1.291685107862e-01      -7.091614280122e-02      -1.079523332982e+02      -1.525612909550e+02      -6.685178712070e-01      -1.354494933950e+02       5.672712438975e-02       5.672656458515e-02 
       1.335143112510e-01      -6.833336582070e-02      -1.124072762345e+02      -1.567358042229e+02      -6.109307474521e-01      -1.393769987159e+02       5.463365538951e-02       5.463318794978e-02 
       1.379983611845e-01      -6.542609039570e-02      -1.143483967095e+02      -1.605933005429e+02      -6.337507017931e-01      -1.426838779650e+02       5.235406978150e-02       5.235360082524e-02 
       1.426267553330e-01      -6.223313392966e-02      -1.136634449645e+02      -1.640722860218e+02      -5.730363479347e-01      -1.452975438224e+02       4.990898463957e-02       4.990859423847e-02 
