#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.958061E-04   0.226708E+07   0.226708E+07   0.300962E+07   0.300945E+07   0.000000E+00   0.226708E+07   0.226708E+07   0.227675E+07  -0.600480E+00   0.226266E+07   0.226266E+07   0.492413E+00
   0.990535E-04   0.226707E+07   0.226707E+07   0.300870E+07   0.300852E+07   0.000000E+00   0.226707E+07   0.226707E+07   0.227674E+07  -0.600477E+00   0.226265E+07   0.226265E+07   0.509093E+00
   0.102411E-03   0.226706E+07   0.226706E+07   0.300772E+07   0.300753E+07   0.000000E+00   0.226706E+07   0.226706E+07   0.227673E+07  -0.600473E+00   0.226264E+07   0.226264E+07   0.526337E+00
   0.105882E-03   0.226705E+07   0.226705E+07   0.300668E+07   0.300647E+07   0.000000E+00   0.226705E+07   0.226705E+07   0.227671E+07  -0.600469E+00   0.226263E+07   0.226263E+07   0.544165E+00
   0.109471E-03   0.226704E+07   0.226704E+07   0.300556E+07   0.300533E+07   0.000000E+00   0.226704E+07   0.226704E+07   0.227670E+07  -0.600464E+00   0.226262E+07   0.226262E+07   0.562596E+00
   0.113182E-03   0.226703E+07   0.226703E+07   0.300436E+07   0.300412E+07   0.000000E+00   0.226703E+07   0.226703E+07   0.227668E+07  -0.600460E+00   0.226260E+07   0.226260E+07   0.581650E+00
   0.117018E-03   0.226701E+07   0.226701E+07   0.300308E+07   0.300283E+07   0.000000E+00   0.226701E+07   0.226701E+07   0.227666E+07  -0.600455E+00   0.226259E+07   0.226259E+07   0.601348E+00
   0.120984E-03   0.226700E+07   0.226700E+07   0.300171E+07   0.300144E+07   0.000000E+00   0.226700E+07   0.226700E+07   0.227665E+07  -0.600450E+00   0.226258E+07   0.226258E+07   0.621712E+00
   0.125085E-03   0.226698E+07   0.226698E+07   0.300025E+07   0.299997E+07   0.000000E+00   0.226698E+07   0.226698E+07   0.227662E+07  -0.600444E+00   0.226256E+07   0.226256E+07   0.642764E+00
   0.129325E-03   0.226697E+07   0.226697E+07   0.299869E+07   0.299839E+07   0.000000E+00   0.226697E+07   0.226697E+07   0.227660E+07  -0.600438E+00   0.226255E+07   0.226254E+07   0.664528E+00
   0.133708E-03   0.226695E+07   0.226695E+07   0.299703E+07   0.299670E+07   0.000000E+00   0.226695E+07   0.226695E+07   0.227658E+07  -0.600431E+00   0.226253E+07   0.226253E+07   0.687027E+00
   0.138240E-03   0.226693E+07   0.226693E+07   0.299525E+07   0.299490E+07   0.000000E+00   0.226693E+07   0.226693E+07   0.227656E+07  -0.600425E+00   0.226251E+07   0.226251E+07   0.710286E+00
