#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_tot                  7:phi                    8:psi                
       3.914053891654e-05      -1.805104453669e-02      -1.363580464113e-02      -1.363581087968e-02      -1.363597793793e-02      -1.363657418407e-02       4.741947021251e-01       4.741091441650e-01 
       4.005223918739e-05      -1.889535499214e-02      -1.427842944541e-02      -1.427843628552e-02      -1.427858659889e-02      -1.427923413400e-02       4.741942539499e-01       4.741087373864e-01 
       4.098517568561e-05      -1.977884039524e-02      -1.495133916958e-02      -1.495134666909e-02      -1.495147707370e-02      -1.495218055218e-02       4.741937845477e-01       4.741083112905e-01 
       4.193984306648e-05      -2.070328814684e-02      -1.565596103240e-02      -1.565596925509e-02      -1.565607620891e-02      -1.565684072033e-02       4.741932939239e-01       4.741078660309e-01 
       4.291674750728e-05      -2.167056380153e-02      -1.639378947273e-02      -1.639379848822e-02      -1.639387803112e-02      -1.639470914161e-02       4.741927811243e-01       4.741074006978e-01 
       4.391640697568e-05      -2.268261473371e-02      -1.716638925081e-02      -1.716639913539e-02      -1.716644684519e-02      -1.716735064279e-02       4.741922422925e-01       4.741069115437e-01 
       4.493935150437e-05      -2.374147358363e-02      -1.797539903997e-02      -1.797540987759e-02      -1.797542082190e-02      -1.797640396594e-02       4.741916786739e-01       4.741063999294e-01 
       4.598612347206e-05      -2.484926109276e-02      -1.882253465762e-02      -1.882254653992e-02      -1.882251522276e-02      -1.882358499858e-02       4.741910893528e-01       4.741058650272e-01 
       4.705727789112e-05      -2.600819000051e-02      -1.970959273867e-02      -1.970960576654e-02      -1.970952607001e-02      -1.971069044825e-02       4.741904725198e-01       4.741053051621e-01 
       4.815338270179e-05      -2.722056820596e-02      -2.063845456203e-02      -2.063846884574e-02      -2.063833396559e-02      -2.063960166777e-02       4.741898260833e-01       4.741047183430e-01 
       4.927501907335e-05      -2.848880282106e-02      -2.161109013137e-02      -2.161110579188e-02      -2.161090816690e-02      -2.161228873678e-02       4.741891497518e-01       4.741041043966e-01 
       5.042278171226e-05      -2.981540360823e-02      -2.262956214626e-02      -2.262957931632e-02      -2.262931055055e-02      -2.263081443264e-02       4.741884403202e-01       4.741034602618e-01 
       5.159727917746e-05      -3.120298713305e-02      -2.369603070301e-02      -2.369604952798e-02      -2.369570030512e-02      -2.369733893076e-02       4.741876988433e-01       4.741027871226e-01 
       5.279913420305e-05      -3.265428016495e-02      -2.481275742795e-02      -2.481277806740e-02      -2.481233805723e-02      -2.481412393842e-02       4.741869212285e-01       4.741020810184e-01 
       5.402898402847e-05      -3.417212422171e-02      -2.598211072650e-02      -2.598213335508e-02      -2.598159110968e-02      -2.598353794289e-02       4.741861075657e-01       4.741013421832e-01 
       5.528748073638e-05      -3.575947938911e-02      -2.720657057009e-02      -2.720659537916e-02      -2.720593821976e-02      -2.720806099878e-02       4.741852571880e-01       4.741005700964e-01 
       5.657529159840e-05      -3.741942856305e-02      -2.848873351699e-02      -2.848876071704e-02      -2.848797460947e-02      -2.849028974925e-02       4.741843648189e-01       4.740997596757e-01 
       5.789309942888e-05      -3.915518134960e-02      -2.983131881583e-02      -2.983134863708e-02      -2.983041805469e-02      -2.983294352751e-02       4.741834312054e-01       4.740989117952e-01 
       5.924160294698e-05      -4.097007862798e-02      -3.123717371134e-02      -3.123720640570e-02      -3.123611417846e-02      -3.123886966335e-02       4.741824547496e-01       4.740980250305e-01 
       6.062151714713e-05      -4.286759688461e-02      -3.270927940450e-02      -3.270931524887e-02      -3.270804239885e-02      -3.271104944407e-02       4.741814309377e-01       4.740970950678e-01 
