#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.298108E-04   0.120013E+08   0.120013E+08   0.159635E+08   0.159634E+08   0.120036E+08   0.120014E+08   0.120013E+08   0.120069E+08  -0.574150E+00   0.105434E+08   0.105434E+08   0.325599E-01
   0.308212E-04   0.120013E+08   0.120013E+08   0.159608E+08   0.159607E+08   0.120035E+08   0.120014E+08   0.120013E+08   0.120069E+08  -0.574150E+00   0.105434E+08   0.105434E+08   0.336632E-01
   0.318659E-04   0.120013E+08   0.120013E+08   0.159580E+08   0.159579E+08   0.120035E+08   0.120014E+08   0.120013E+08   0.120069E+08  -0.574150E+00   0.105434E+08   0.105434E+08   0.348039E-01
   0.329460E-04   0.120013E+08   0.120013E+08   0.159550E+08   0.159549E+08   0.120035E+08   0.120013E+08   0.120013E+08   0.120069E+08  -0.574149E+00   0.105434E+08   0.105434E+08   0.359832E-01
   0.340627E-04   0.120013E+08   0.120013E+08   0.159518E+08   0.159516E+08   0.120034E+08   0.120013E+08   0.120013E+08   0.120069E+08  -0.574149E+00   0.105434E+08   0.105434E+08   0.372025E-01
   0.352173E-04   0.120013E+08   0.120013E+08   0.159483E+08   0.159482E+08   0.120034E+08   0.120013E+08   0.120013E+08   0.120069E+08  -0.574148E+00   0.105434E+08   0.105434E+08   0.384630E-01
   0.364110E-04   0.120013E+08   0.120013E+08   0.159446E+08   0.159445E+08   0.120033E+08   0.120013E+08   0.120013E+08   0.120069E+08  -0.574148E+00   0.105434E+08   0.105434E+08   0.397662E-01
   0.376451E-04   0.120013E+08   0.120013E+08   0.159407E+08   0.159405E+08   0.120033E+08   0.120013E+08   0.120013E+08   0.120069E+08  -0.574147E+00   0.105434E+08   0.105434E+08   0.411135E-01
   0.389211E-04   0.120013E+08   0.120013E+08   0.159364E+08   0.159363E+08   0.120032E+08   0.120013E+08   0.120013E+08   0.120069E+08  -0.574146E+00   0.105433E+08   0.105433E+08   0.425064E-01
   0.402403E-04   0.120013E+08   0.120013E+08   0.159319E+08   0.159318E+08   0.120032E+08   0.120013E+08   0.120013E+08   0.120068E+08  -0.574146E+00   0.105433E+08   0.105433E+08   0.439465E-01
   0.416043E-04   0.120012E+08   0.120012E+08   0.159271E+08   0.159269E+08   0.120031E+08   0.120013E+08   0.120012E+08   0.120068E+08  -0.574145E+00   0.105433E+08   0.105433E+08   0.454353E-01
   0.430145E-04   0.120012E+08   0.120012E+08   0.159220E+08   0.159218E+08   0.120031E+08   0.120013E+08   0.120012E+08   0.120068E+08  -0.574144E+00   0.105433E+08   0.105433E+08   0.469745E-01
   0.444724E-04   0.120012E+08   0.120012E+08   0.159165E+08   0.159163E+08   0.120030E+08   0.120012E+08   0.120012E+08   0.120068E+08  -0.574143E+00   0.105433E+08   0.105433E+08   0.485658E-01
   0.459798E-04   0.120012E+08   0.120012E+08   0.159106E+08   0.159104E+08   0.120029E+08   0.120012E+08   0.120012E+08   0.120068E+08  -0.574142E+00   0.105433E+08   0.105433E+08   0.502109E-01
   0.475383E-04   0.120012E+08   0.120012E+08   0.159043E+08   0.159041E+08   0.120029E+08   0.120012E+08   0.120012E+08   0.120068E+08  -0.574141E+00   0.105433E+08   0.105433E+08   0.519117E-01
   0.491496E-04   0.120012E+08   0.120012E+08   0.158976E+08   0.158974E+08   0.120028E+08   0.120012E+08   0.120012E+08   0.120067E+08  -0.574140E+00   0.105433E+08   0.105433E+08   0.536700E-01
   0.508156E-04   0.120012E+08   0.120012E+08   0.158905E+08   0.158902E+08   0.120027E+08   0.120012E+08   0.120012E+08   0.120067E+08  -0.574139E+00   0.105432E+08   0.105432E+08   0.554877E-01
   0.525380E-04   0.120011E+08   0.120011E+08   0.158828E+08   0.158825E+08   0.120026E+08   0.120011E+08   0.120011E+08   0.120067E+08  -0.574138E+00   0.105432E+08   0.105432E+08   0.573670E-01
   0.543188E-04   0.120011E+08   0.120011E+08   0.158746E+08   0.158743E+08   0.120025E+08   0.120011E+08   0.120011E+08   0.120067E+08  -0.574137E+00   0.105432E+08   0.105432E+08   0.593097E-01
   0.561599E-04   0.120011E+08   0.120011E+08   0.158659E+08   0.158655E+08   0.120024E+08   0.120011E+08   0.120011E+08   0.120066E+08  -0.574136E+00   0.105432E+08   0.105432E+08   0.613182E-01
   0.580634E-04   0.120011E+08   0.120011E+08   0.158565E+08   0.158562E+08   0.120023E+08   0.120011E+08   0.120011E+08   0.120066E+08  -0.574134E+00   0.105432E+08   0.105432E+08   0.633945E-01
   0.600315E-04   0.120010E+08   0.120010E+08   0.158466E+08   0.158462E+08   0.120022E+08   0.120010E+08   0.120010E+08   0.120066E+08  -0.574133E+00   0.105431E+08   0.105431E+08   0.655410E-01
   0.620663E-04   0.120010E+08   0.120010E+08   0.158359E+08   0.158355E+08   0.120021E+08   0.120010E+08   0.120010E+08   0.120065E+08  -0.574131E+00   0.105431E+08   0.105431E+08   0.677600E-01
   0.641700E-04   0.120010E+08   0.120010E+08   0.158245E+08   0.158241E+08   0.120020E+08   0.120010E+08   0.120010E+08   0.120065E+08  -0.574129E+00   0.105431E+08   0.105431E+08   0.700540E-01
   0.663451E-04   0.120009E+08   0.120009E+08   0.158124E+08   0.158119E+08   0.120018E+08   0.120010E+08   0.120009E+08   0.120065E+08  -0.574127E+00   0.105431E+08   0.105431E+08   0.724254E-01
   0.685939E-04   0.120009E+08   0.120009E+08   0.157994E+08   0.157989E+08   0.120017E+08   0.120009E+08   0.120009E+08   0.120064E+08  -0.574125E+00   0.105430E+08   0.105430E+08   0.748768E-01
   0.709189E-04   0.120009E+08   0.120009E+08   0.157855E+08   0.157850E+08   0.120015E+08   0.120009E+08   0.120009E+08   0.120064E+08  -0.574123E+00   0.105430E+08   0.105430E+08   0.774110E-01
   0.733227E-04   0.120008E+08   0.120008E+08   0.157707E+08   0.157701E+08   0.120013E+08   0.120008E+08   0.120008E+08   0.120063E+08  -0.574121E+00   0.105430E+08   0.105430E+08   0.800308E-01
   0.758079E-04   0.120008E+08   0.120008E+08   0.157549E+08   0.157542E+08   0.120011E+08   0.120008E+08   0.120008E+08   0.120063E+08  -0.574118E+00   0.105429E+08   0.105429E+08   0.827388E-01
   0.783775E-04   0.120008E+08   0.120007E+08   0.157380E+08   0.157373E+08   0.120010E+08   0.120008E+08   0.120007E+08   0.120062E+08  -0.574116E+00   0.105429E+08   0.105429E+08   0.855382E-01
   0.810341E-04   0.120007E+08   0.120007E+08   0.157199E+08   0.157192E+08   0.120007E+08   0.120007E+08   0.120007E+08   0.120062E+08  -0.574113E+00   0.105428E+08   0.105428E+08   0.884320E-01
   0.837807E-04   0.120007E+08   0.120006E+08   0.157006E+08   0.156999E+08   0.120005E+08   0.120006E+08   0.120006E+08   0.120061E+08  -0.574110E+00   0.105428E+08   0.105428E+08   0.914232E-01
   0.866205E-04   0.120006E+08   0.120006E+08   0.156801E+08   0.156793E+08   0.120003E+08   0.120006E+08   0.120006E+08   0.120061E+08  -0.574107E+00   0.105427E+08   0.105427E+08   0.945152E-01
   0.895565E-04   0.120005E+08   0.120005E+08   0.156581E+08   0.156572E+08   0.120000E+08   0.120005E+08   0.120005E+08   0.120060E+08  -0.574104E+00   0.105427E+08   0.105427E+08   0.977112E-01
   0.925920E-04   0.120005E+08   0.120005E+08   0.156347E+08   0.156337E+08   0.119998E+08   0.120005E+08   0.120005E+08   0.120059E+08  -0.574100E+00   0.105426E+08   0.105426E+08   0.101015E+00
   0.957304E-04   0.120004E+08   0.120004E+08   0.156096E+08   0.156087E+08   0.119995E+08   0.120004E+08   0.120004E+08   0.120058E+08  -0.574096E+00   0.105426E+08   0.105426E+08   0.104430E+00
   0.989752E-04   0.120003E+08   0.120003E+08   0.155829E+08   0.155819E+08   0.119991E+08   0.120003E+08   0.120003E+08   0.120058E+08  -0.574092E+00   0.105425E+08   0.105425E+08   0.107959E+00
   0.102330E-03   0.120003E+08   0.120003E+08   0.155544E+08   0.155533E+08   0.119988E+08   0.120002E+08   0.120003E+08   0.120057E+08  -0.574087E+00   0.105424E+08   0.105424E+08   0.111607E+00
   0.105799E-03   0.120002E+08   0.120002E+08   0.155240E+08   0.155228E+08   0.119985E+08   0.120002E+08   0.120002E+08   0.120056E+08  -0.574083E+00   0.105424E+08   0.105424E+08   0.115378E+00
   0.109385E-03   0.120001E+08   0.120001E+08   0.154916E+08   0.154903E+08   0.119981E+08   0.120001E+08   0.120001E+08   0.120055E+08  -0.574078E+00   0.105423E+08   0.105423E+08   0.119275E+00
   0.113092E-03   0.120000E+08   0.120000E+08   0.154569E+08   0.154556E+08   0.119977E+08   0.120000E+08   0.120000E+08   0.120054E+08  -0.574072E+00   0.105422E+08   0.105422E+08   0.123302E+00
   0.116925E-03   0.119999E+08   0.119999E+08   0.154200E+08   0.154186E+08   0.119972E+08   0.119999E+08   0.119999E+08   0.120053E+08  -0.574066E+00   0.105421E+08   0.105421E+08   0.127465E+00
   0.120889E-03   0.119998E+08   0.119998E+08   0.153807E+08   0.153791E+08   0.119968E+08   0.119998E+08   0.119998E+08   0.120051E+08  -0.574060E+00   0.105420E+08   0.105420E+08   0.131767E+00
   0.124986E-03   0.119997E+08   0.119997E+08   0.153387E+08   0.153370E+08   0.119963E+08   0.119996E+08   0.119997E+08   0.120050E+08  -0.574054E+00   0.105419E+08   0.105419E+08   0.136213E+00
   0.129223E-03   0.119996E+08   0.119996E+08   0.152939E+08   0.152922E+08   0.119957E+08   0.119995E+08   0.119996E+08   0.120049E+08  -0.574047E+00   0.105418E+08   0.105418E+08   0.140808E+00
   0.133603E-03   0.119994E+08   0.119994E+08   0.152462E+08   0.152444E+08   0.119952E+08   0.119994E+08   0.119994E+08   0.120047E+08  -0.574039E+00   0.105417E+08   0.105417E+08   0.145556E+00
   0.138131E-03   0.119993E+08   0.119993E+08   0.151954E+08   0.151934E+08   0.119946E+08   0.119992E+08   0.119993E+08   0.120045E+08  -0.574031E+00   0.105416E+08   0.105416E+08   0.150462E+00
   0.142813E-03   0.119991E+08   0.119991E+08   0.151412E+08   0.151391E+08   0.119939E+08   0.119991E+08   0.119991E+08   0.120044E+08  -0.574022E+00   0.105414E+08   0.105414E+08   0.155532E+00
   0.147654E-03   0.119990E+08   0.119990E+08   0.150835E+08   0.150813E+08   0.119932E+08   0.119989E+08   0.119990E+08   0.120042E+08  -0.574013E+00   0.105413E+08   0.105413E+08   0.160770E+00
   0.152658E-03   0.119988E+08   0.119988E+08   0.150220E+08   0.150197E+08   0.119925E+08   0.119987E+08   0.119988E+08   0.120040E+08  -0.574004E+00   0.105411E+08   0.105411E+08   0.166182E+00
   0.157833E-03   0.119986E+08   0.119986E+08   0.149566E+08   0.149541E+08   0.119917E+08   0.119986E+08   0.119986E+08   0.120038E+08  -0.573993E+00   0.105410E+08   0.105410E+08   0.171775E+00
   0.163183E-03   0.119984E+08   0.119984E+08   0.148869E+08   0.148843E+08   0.119908E+08   0.119984E+08   0.119984E+08   0.120036E+08  -0.573982E+00   0.105408E+08   0.105408E+08   0.177552E+00
   0.168714E-03   0.119982E+08   0.119982E+08   0.148128E+08   0.148100E+08   0.119899E+08   0.119981E+08   0.119982E+08   0.120033E+08  -0.573970E+00   0.105406E+08   0.105406E+08   0.183521E+00
   0.174432E-03   0.119980E+08   0.119980E+08   0.147340E+08   0.147310E+08   0.119890E+08   0.119979E+08   0.119980E+08   0.120031E+08  -0.573957E+00   0.105404E+08   0.105404E+08   0.189687E+00
   0.180345E-03   0.119978E+08   0.119978E+08   0.146502E+08   0.146470E+08   0.119879E+08   0.119977E+08   0.119978E+08   0.120028E+08  -0.573944E+00   0.105402E+08   0.105402E+08   0.196056E+00
   0.186457E-03   0.119975E+08   0.119975E+08   0.145610E+08   0.145577E+08   0.119868E+08   0.119974E+08   0.119975E+08   0.120025E+08  -0.573929E+00   0.105400E+08   0.105400E+08   0.202635E+00
   0.192777E-03   0.119973E+08   0.119973E+08   0.144664E+08   0.144628E+08   0.119857E+08   0.119971E+08   0.119973E+08   0.120022E+08  -0.573914E+00   0.105397E+08   0.105397E+08   0.209430E+00
   0.199312E-03   0.119970E+08   0.119970E+08   0.143658E+08   0.143620E+08   0.119844E+08   0.119968E+08   0.119970E+08   0.120019E+08  -0.573897E+00   0.105395E+08   0.105395E+08   0.216449E+00
   0.206067E-03   0.119967E+08   0.119967E+08   0.142590E+08   0.142550E+08   0.119831E+08   0.119965E+08   0.119967E+08   0.120015E+08  -0.573879E+00   0.105392E+08   0.105392E+08   0.223696E+00
   0.213052E-03   0.119963E+08   0.119963E+08   0.141457E+08   0.141414E+08   0.119816E+08   0.119962E+08   0.119963E+08   0.120011E+08  -0.573860E+00   0.105389E+08   0.105389E+08   0.231180E+00
   0.220273E-03   0.119960E+08   0.119960E+08   0.140255E+08   0.140210E+08   0.119801E+08   0.119958E+08   0.119960E+08   0.120007E+08  -0.573840E+00   0.105386E+08   0.105386E+08   0.238908E+00
   0.227740E-03   0.119956E+08   0.119956E+08   0.138981E+08   0.138934E+08   0.119784E+08   0.119954E+08   0.119956E+08   0.120003E+08  -0.573819E+00   0.105383E+08   0.105383E+08   0.246887E+00
   0.235459E-03   0.119952E+08   0.119952E+08   0.137631E+08   0.137581E+08   0.119767E+08   0.119950E+08   0.119952E+08   0.119998E+08  -0.573796E+00   0.105379E+08   0.105379E+08   0.255124E+00
   0.243440E-03   0.119948E+08   0.119948E+08   0.136202E+08   0.136150E+08   0.119748E+08   0.119946E+08   0.119948E+08   0.119993E+08  -0.573771E+00   0.105375E+08   0.105375E+08   0.263628E+00
   0.251691E-03   0.119944E+08   0.119943E+08   0.134690E+08   0.134635E+08   0.119728E+08   0.119941E+08   0.119943E+08   0.119988E+08  -0.573745E+00   0.105371E+08   0.105371E+08   0.272404E+00
   0.260222E-03   0.119939E+08   0.119939E+08   0.133091E+08   0.133033E+08   0.119707E+08   0.119936E+08   0.119939E+08   0.119982E+08  -0.573717E+00   0.105367E+08   0.105367E+08   0.281463E+00
   0.269043E-03   0.119933E+08   0.119933E+08   0.131402E+08   0.131341E+08   0.119684E+08   0.119931E+08   0.119933E+08   0.119977E+08  -0.573688E+00   0.105362E+08   0.105362E+08   0.290811E+00
   0.278162E-03   0.119928E+08   0.119928E+08   0.129619E+08   0.129555E+08   0.119660E+08   0.119925E+08   0.119928E+08   0.119970E+08  -0.573656E+00   0.105357E+08   0.105357E+08   0.300456E+00
   0.287590E-03   0.119922E+08   0.119922E+08   0.127739E+08   0.127672E+08   0.119634E+08   0.119919E+08   0.119922E+08   0.119963E+08  -0.573622E+00   0.105352E+08   0.105352E+08   0.310407E+00
   0.297338E-03   0.119916E+08   0.119916E+08   0.125758E+08   0.125688E+08   0.119606E+08   0.119912E+08   0.119916E+08   0.119956E+08  -0.573586E+00   0.105346E+08   0.105346E+08   0.320672E+00
   0.307416E-03   0.119909E+08   0.119909E+08   0.123672E+08   0.123599E+08   0.119576E+08   0.119905E+08   0.119909E+08   0.119948E+08  -0.573548E+00   0.105340E+08   0.105340E+08   0.331260E+00
   0.317836E-03   0.119902E+08   0.119902E+08   0.121480E+08   0.121403E+08   0.119545E+08   0.119898E+08   0.119902E+08   0.119940E+08  -0.573507E+00   0.105334E+08   0.105334E+08   0.342179E+00
   0.328609E-03   0.119894E+08   0.119894E+08   0.119177E+08   0.119098E+08   0.119511E+08   0.119890E+08   0.119894E+08   0.119932E+08  -0.573464E+00   0.105327E+08   0.105327E+08   0.353438E+00
   0.339748E-03   0.119886E+08   0.119886E+08   0.116762E+08   0.116679E+08   0.119475E+08   0.119881E+08   0.119886E+08   0.119922E+08  -0.573417E+00   0.105320E+08   0.105320E+08   0.365045E+00
   0.351263E-03   0.119877E+08   0.119877E+08   0.114232E+08   0.114147E+08   0.119437E+08   0.119872E+08   0.119877E+08   0.119912E+08  -0.573368E+00   0.105312E+08   0.105312E+08   0.377010E+00
   0.363170E-03   0.119868E+08   0.119868E+08   0.111586E+08   0.111498E+08   0.119396E+08   0.119863E+08   0.119868E+08   0.119902E+08  -0.573315E+00   0.105303E+08   0.105303E+08   0.389340E+00
   0.375479E-03   0.119858E+08   0.119858E+08   0.108823E+08   0.108732E+08   0.119352E+08   0.119853E+08   0.119858E+08   0.119890E+08  -0.573259E+00   0.105294E+08   0.105294E+08   0.402045E+00
